Author,Illustrator,Title,Language,LoC Class,Subject,Category,EBook-No.,Release Date,Copyright Status,Downloads,Price,Editor,LoC No.,Imprint,Summary,Contributor,Engraver,Translator,Alternate Title,Contents,Note,Commentator,Annotator,"Author of introduction, etc.",Edition,Creator,Series Title,Uniform Title
"Barnum, Richard","Tooker, Harriet H.",Squinty the Comical Pig: His Many Adventures,English,PZ: Language and Literatures: Juvenile belles lettres,Circus -- Juvenile fiction,Text,11069,"Feb 1, 2004",Public domain in the USA.,62 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,Kneetime animal stories,
"Tabor, Alta","Williams, Florence White, 1900-1953",Willie Mouse,English,PZ: Language and Literatures: Juvenile belles lettres,Elves -- Juvenile fiction,Text,18742,"Jul 3, 2006",Public domain in the USA.,60 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Ballantyne, R. M. (Robert Michael), 1825-1894",,The Gorilla Hunters,English,PZ: Language and Literatures: Juvenile belles lettres,Gorilla -- Juvenile fiction,Text,21736,"Jun 7, 2007",Public domain in the USA.,59 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Bailey, Arthur Scott, 1877-1949","Smith, Harry L.",The Tale of Benny Badger,English,PZ: Language and Literatures: Juvenile belles lettres,Badgers -- Juvenile fiction,Text,24589,"Feb 13, 2008",Public domain in the USA.,58 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Ballantyne, R. M. (Robert Michael), 1825-1894",Pearson,Black Ivory,English,PZ: Language and Literatures: Juvenile belles lettres,Slave trade -- Juvenile fiction,Text,21748,"Jun 7, 2007",Public domain in the USA.,58 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Francis, J. G. (Joseph Greene), 1849-1930",,A Book of Cheerful Cats and Other Animated Animals,English,PZ: Language and Literatures: Juvenile belles lettres,Cats -- Juvenile fiction,Text,30328,"Oct 25, 2009",Public domain in the USA.,58 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
Anonymous,"Harral, Horace",A Picture-book of Merry Tales,English,PZ: Language and Literatures: Juvenile belles lettres,Fools and jesters -- Juvenile fiction,Text,43599,"Aug 29, 2013",Public domain in the USA.,58 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Harris, Joel Chandler, 1848-1908","Ver Beck, Frank, 1858-1933",Told by Uncle Remus: New Stories of the Old Plantation,English,PZ: Language and Literatures: Juvenile belles lettres,"Remus, Uncle (Fictitious character) -- Juvenile fiction",Text,55676,"Oct 3, 2017",Public domain in the USA.,57 downloads in the last 30 days.,$0.00,,,,,,,,,The reason why -- Why Mr. Cricket has elbows on his legs -- How Wiley Wolf rode in the bag -- Brother Rabbit's laughing-place -- Brother Rabbit and the chickens -- Little Mister Cricket and the other creatures -- When Brother Rabbit was King -- How old Craney-Crow lost his head -- Brother Fox follows the fashion -- Why the turkey-buzzard is bald-headed -- Brother Deer an' King Sun's daughter -- Brother Rabbit's cradle -- Brother Rabbit and Brother Bull-Frog -- Why Mr. Dog is tame -- Brother Rabbit and the gizzard eater -- Brother Rabbit and Miss Nancy -- The hard-headed woman.,,,,,,,,
"Burgess, Thornton W. (Thornton Waldo), 1874-1965",,Mrs. Peter Rabbit,English,PZ: Language and Literatures: Juvenile belles lettres,Rabbits -- Juvenile fiction,Text,5791,"May 1, 2004",Public domain in the USA.,56 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Burgess, Thornton W. (Thornton Waldo), 1874-1965","Kerr, George F., 1869-1953",Mother West Wind's Children,English,PZ: Language and Literatures: Juvenile belles lettres,"Children's stories, American",Text,20877,"Mar 22, 2007",Public domain in the USA.,55 downloads in the last 30 days.,$0.00,,,,,,,,,"Danny Meadow Mouse learns why his tale is short -- Why Reddy Fox has no friends -- Why Peter Rabbit's ears are long -- Reddy Fox disobeys -- Striped Chipmunk's pockets -- Reddy Fox, the boaster -- Johnny Chuck's secret -- Johnny Chuck's great fight -- Mr. Toad's old suit -- Grandfather Frog gets even -- The disappointed bush -- Why Bobby Coon washes his food -- The Merry Little Breezes have a busy day -- Why Hooty the Owl does not play on the Green Meadows -- Danny Meadow Mouse learns to laugh.",,,,,,,,
