Author,Illustrator,Title,Language,LoC Class,Subject,Category,EBook-No.,Release Date,Copyright Status,Downloads,Price,Editor,LoC No.,Imprint,Summary,Contributor,Engraver,Translator,Alternate Title,Contents,Note,Commentator,Annotator,"Author of introduction, etc.",Edition,Creator,Series Title,Uniform Title
"Aesop, 620? BCE-564? BCE","Winter, Milo, 1888-1956",The Aesop for ChildrenWith pictures by Milo Winter,English,PZ: Language and Literatures: Juvenile belles lettres,Aesop's fables -- Adaptations,Text,19994,"Dec 2, 2006",Public domain in the USA.,1324 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Potter, Beatrix, 1866-1943",,The Tale of Johnny Town-Mouse,English,PZ: Language and Literatures: Juvenile belles lettres,Fables,Text,15284,"Mar 8, 2005",Public domain in the USA.,315 downloads in the last 30 days.,$0.00,,66004164,"Frederick Warne & Co., Inc.New York1918","After visiting each other’s homes, Johnny Town-Mouse and Timmy Willy who lives in the country, decide that they prefer their own place.",,,,,,,,,,,,,
"Crane, Walter, 1845-1915",,The Baby's Own Aesop,English,PZ: Language and Literatures: Juvenile belles lettres,"Fables, Greek -- Adaptations",Text,25433,"May 11, 2008",Public domain in the USA.,173 downloads in the last 30 days.,$0.00,,,,,"Linton, W. J. (William James), 1812-1897","Evans, Edmund, 1826-1905",,,,,,,,,,,
"Carryl, Guy Wetmore, 1873-1904",,Fables for the Frivolous,English,PS: Language and Literatures: American and Canadian literature,Humorous poetry,Sound,20026,"Nov 6, 2006",Public domain in the USA.,171 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Moore, Edward, 1712-1757","Brooke, Henry, 1703?-1783",Moores Fables for the Female Sex,English,PR: Language and Literatures: English literature,English poetry -- 18th century,Text,39499,"Apr 22, 2012",Public domain in the USA.,168 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Chamisso, Adelbert von, 1781-1838",,Peter Schlemihls wundersame Geschichte,German,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures",Fables,Text,31538,"Mar 7, 2010",Public domain in the USA.,163 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Chamisso, Adelbert von, 1781-1838","Cruikshank, George, 1792-1878",Peter Schlemihl,English,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures",Fables,Text,21943,"Jun 26, 2007",Public domain in the USA.,162 downloads in the last 30 days.,$0.00,,06023329,,,,,"Bowring, John, 1792-1872",,,,,,,,,,
"Park, Marmaduke",,"Aesop, in Rhyme: Old Friends in a New Dress",English,PA: Language and Literatures: Classical Languages and Literature,Fables,Text,21189,"Apr 19, 2007",Public domain in the USA.,133 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Aesop, 620? BCE-564? BCE",,"Æsop's Fables, Embellished with One Hundred and Eleven Emblematical Devices.",English,PZ: Language and Literatures: Juvenile belles lettres,Fables,Text,39187,"Mar 18, 2012",Public domain in the USA.,109 downloads in the last 30 days.,$0.00,,,,,,,"Croxall, Samuel, -1752","Aesop's Fables, Embellished with One Hundred and Eleven Emblematical Devices",,,,,,,,,
"La Fontaine, Jean de, 1621-1695","Rae, John, 1882-1963",Fables in Rhyme for Little FolksFrom the French of La Fontaine,English,PZ: Language and Literatures: Juvenile belles lettres,Fables,Text,24108,"Jan 1, 2008",Public domain in the USA.,99 downloads in the last 30 days.,$0.00,,,,,,,"Larned, W. T. (William Trowbridge)",,,,,,,,,,
"Scudder, Horace Elisha, 1838-1902",,The Book of Fables and Folk Stories,English,PZ: Language and Literatures: Juvenile belles lettres,Tales,Text,45384,"Apr 14, 2014",Public domain in the USA.,77 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Ade, George, 1866-1944",,More Fables,English,PS: Language and Literatures: American and Canadian literature,Fables,Text,11930,"Apr 1, 2004",Public domain in the USA.,67 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Bierce, Ambrose, 1842-1914?",,Cobwebs from an Empty Skull,English,PS: Language and Literatures: American and Canadian literature,Fables,Text,12793,"Jun 30, 2004",Public domain in the USA.,66 downloads in the last 30 days.,$0.00,,a21000134,,,,"Dalziel, George, 1815-1902",,,,,,,,,,,
"Carryl, Guy Wetmore, 1873-1904","Newell, Peter, 1862-1924",Fables for the Frivolous,English,PS: Language and Literatures: American and Canadian literature,Humorous poetry,Text,6438,"Sep 1, 2004",Public domain in the USA.,64 downloads in the last 30 days.,$0.00,,,,,,,,,The ambitious fox and the unapproachable grapes -- The persevering tortoise and the pretentious hare -- The patrician peacocks and the overweening jay -- The arrogant frog and the superior bull -- The domineering eagle and the inventive bratling -- The iconoclastic rustic and the apropos acorn -- The unusual goose and the imbecilic woodcutter -- The rude rat and the unostentatious oyster -- The urban rat and the suburban rat -- The impecunious cricket and the frugal ant -- The pampered lapdog and the misguided ass -- The vainglorious oak and the modest bullrush -- The inhuman wolf and the lamb sans gene -- The sycophantic fox and the gullible raven -- The microscopic trout and the machiavellian fisherman -- The confiding peasant and the maladroit bear -- The precipitate cock and the unappreciated pearl -- The abbreviated fox and his sceptical comrades -- The hospitable caledonian and the thankless viper -- The impetuous breeze and the diplomatic sun.,,,,,,,,
"Ade, George, 1866-1944","Newman, Clyde J.",Fables in Slang,English,PS: Language and Literatures: American and Canadian literature,Fables,Text,25322,"May 4, 2008",Public domain in the USA.,62 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Aesop, 620? BCE-564? BCE","Robinson, Charles, 1870-1937",Æsop's Fables,English,PZ: Language and Literatures: Juvenile belles lettres,"Fables, Greek -- Adaptations",Text,53103,"Sep 20, 2016",Public domain in the USA.,51 downloads in the last 30 days.,$0.00,,41035166,,,,,,,,,,,,,,,
"Wenger, Lisa, 1858-1941","Petersen, Carl Olof, 1881-1939",Amoralische Fabeln,German,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures",Fables,Text,64541,"Feb 13, 2021",Public domain in the USA.,44 downloads in the last 30 days.,$0.00,,,,,,,,,"Was das Schäfchen sagen darf und was nicht! -- Der schwarze Fleck -- Als das Hühnchen zur Schule sollte -- Der weiße Maulwurf -- Das unschuldige Lämmlein -- Als die Hühner wählen durften -- So oder so! -- Warum die Schafe heiraten -- Das Festessen -- Einsicht -- Eintagsfliegen -- Der Gesangverein -- Das kluge Huhn -- Der alte Schafbock -- Vom bescheidenen Hähnchen -- Das neue Buch -- Die lieben Nachbarn -- Wie der Binsenteich erforscht wurde -- Das Begräbnis -- Die Ratgeber -- Das künstliche Auge -- Die Richter -- Schicksal dreier Freunde -- Der Goldfasan -- Vom Huhn, das etwas gelernt hatte -- Er und Sie.",,,,,,,,
"Ade, George, 1866-1944","McCutcheon, John T. (John Tinney), 1870-1949",Ade's Fables,English,PS: Language and Literatures: American and Canadian literature,Fables,Text,20510,"Feb 2, 2007",Public domain in the USA.,44 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Mandeville, Bernard, 1670-1733",,"Aesop Dress'd; Or, A Collection of Fables Writ in Familiar Verse",English,PR: Language and Literatures: English literature,"Fables, English -- Early works to 1800",Text,33888,"Oct 29, 2010",Public domain in the USA.,38 downloads in the last 30 days.,$0.00,,66006697,,,,,,,,,"Shea, John S.",,,,,,
"Lessing, Gotthold Ephraim, 1729-1781",,Ausgewählte Fabeln,German,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures",Fables,Text,9375,"Nov 1, 2005",Public domain in the USA.,38 downloads in the last 30 days.,$0.00,,,,,,,,,Das Geschenk der FeienDas Roß und der StierDer Affe und der FuchsDer Besitzer des BogensDer Esel mit dem LöwenDer Esel und das JagdpferdDer Esel und der WolfDer FuchsDer GeizigeDer Hamster und die AmeiseDer HirschDer Hirsch und der FuchsDer Knabe und die SchlangeDer Löwe mit dem EselDer Löwe und der HaseDer PelikanDer PhönixDer RabeDer Rabe und der FuchsDer Rangstreit der TiereDer Sperling und der StraußDer StraußDer Wolf auf dem TodbetteDer Wolf und der SchäferDer hungrige FuchsDer junge und der alte HirschDie EicheDie Eiche und das SchweinDie ErscheinungDie Eule und der SchatzgräberDie FurienDie GansDie Geschichte des alten WolfsDie Nachtigall und die LercheDie Pfauen und die KräheDie SchwalbeDie SperlingeDie TraubeDie WasserschlangeDie ZiegenDie eherne BildsäuleDie junge SchwalbeJupiter und das SchafMeropsMinervaZeus und das Pferd,,,,,,,,
"Chamisso, Adelbert von, 1781-1838",,Peter Schlemihl,English,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures",Fables,Text,5339,"Mar 1, 2004",Public domain in the USA.,37 downloads in the last 30 days.,$0.00,"Morley, Henry, 1822-1894",,,,,,,,"Peter Schlemihl by Adelbert Chamisso -- The Story Without An End by Carode; Tr.: Sarah Austin -- Hymns To Night by Novalis, Tr.: Henry Morley.","There is an improved edition of this title, eBook #21943",,,,,,,
"Follen, Eliza Lee Cabot, 1787-1860",,"Hymns, Songs, and Fables, for Young People",English,PZ: Language and Literatures: Juvenile belles lettres,United States -- Social life and customs -- 19th century -- Juvenile literature,Text,16688,"Sep 13, 2005",Public domain in the USA.,30 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
Unknown,,Rock A Bye Library: A Book of FablesAmusement for Good Little Children,English,PZ: Language and Literatures: Juvenile belles lettres,Fables,Text,22539,"Sep 8, 2007",Public domain in the USA.,28 downloads in the last 30 days.,$0.00,,,,,,,,,The fox and the cock -- The giant and the dwarf -- The partridge and her young -- The cock and the jewel -- The dog and the shadow -- The dog and the rat -- The beaver and the fly -- The peaches -- The canary-bird and the wasp -- The quarrel among the beasts -- The dog with his master's dinner -- The pigs.,,,,,,,,
"La Fontaine, Jean de, 1621-1695",,"Fables of La Fontaine — a New Edition, with Notes",English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,7241,"Jan 1, 2005",Public domain in the USA.,987 downloads in the last 30 days.,$0.00,,,,,,,"Wright, Elizur, 1804-1885",,,,,"Gibbs, J. W. M.",,,,,
"La Fontaine, Jean de, 1621-1695",,Tales and Novels of J. de La Fontaine — Complete,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,5300,"Sep 21, 2004",Public domain in the USA.,339 downloads in the last 30 days.,$0.00,,,,,,,,,"La Fontaine's life -- Preface -- Joconde -- The Cudgelled and Contented Cuckold -- The Husband Confessor -- The Cobbler -- The Peasant and His Angry Lord -- The Muleteer -- The Servant Girl Justified -- The Three Gossips' Wager -- The Old Man's Calendar -- The Avaricious Wife and Tricking Gallant -- The Jealous Husband -- The Gascon Punished -- The Princess Betrothed to the King of Garba -- The Magick Cup -- The Falcon -- The Little Dog -- The Eel Pie -- The Magnificent -- The Ephesian Matron -- Belphegor -- The Little Bell -- The Glutton -- The Two Friends -- The Country Justice Alice Sick -- The Kiss Returned -- Sister Jane -- An Imitation of Anacreon -- Another Imitation of Anacreon -- Preface To The Second Book -- Friar Philip's Geese -- Richard Minutolo -- The Monks of Catalonia -- The Cradle -- St. Julian's Prayer -- The Countryman Who Sought His Calf -- Hans Carvel's Ring -- The Hermit -- The Convent -- Gardener of Lamporechio -- The Mandrake -- The Rhemese -- The Amorous Courtesan -- Nicaise -- The Progress of Wit -- The Sick Abbess -- The Truckers -- The Case of Conscience -- The Devil of Pope-fig Island -- Feronde -- The Psalter -- King Candaules and the Doctor of Laws -- The Devil in Hell -- Neighbour Peter's Mare -- The Spectacles -- The Bucking Tub -- The Impossible Thing -- The Picture -- The Pack-Saddle -- The Ear-maker, and the Mould-mender -- The River Scamander -- The Confidant Without Knowing It, or the Stratagem -- The Clyster -- The Indiscreet Confession -- The Contract -- The Quid Pro Quo, or the Mistakes -- The Dress-maker -- The Gascon -- The Pitcher -- To Promise is One Thing, to Keep It, Another -- The Nightingale -- Epitaph of La Fontaine.",,,,,,,,
"La Fontaine, Jean de, 1621-1695","Doré, Gustave, 1832-1883",The Fables of La FontaineTranslated into English Verse by Walter Thornbury and Illustrated by Gustave Doré,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,50316,"Oct 26, 2015",Public domain in the USA.,328 downloads in the last 30 days.,$0.00,,,,,,,"Thornbury, Walter, 1828-1876",,,,,,,,,,
"La Fontaine, Jean de, 1621-1695","Billinghurst, Percy J.",A Hundred Fables of La Fontaine,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,25357,"May 6, 2008",Public domain in the USA.,86 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"La Fontaine, Jean de, 1621-1695",,The Original Fables of La FontaineRendered into English Prose by Fredk. Colin Tilney,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,15946,"May 30, 2005",Public domain in the USA.,41 downloads in the last 30 days.,$0.00,,,,,,,"Tilney, F. C. (Frederick Colin), 1870-1951",,,,,,,,,,
"La Fontaine, Jean de, 1621-1695",,Tales and Novels of J. de La Fontaine — Volume 25,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,5299,"Mar 1, 2004",Public domain in the USA.,27 downloads in the last 30 days.,$0.00,,,,,,,,,"The Dress-maker -- The Gascon -- The Pitcher -- To Promise is One Thing, to Keep it, Another -- The Nightingale -- Epitaph of Fontaine.",,,,,,,,
"La Fontaine, Jean de, 1621-1695",,Tales and Novels of J. de La Fontaine — Volume 24,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,5298,"Mar 1, 2004",Public domain in the USA.,26 downloads in the last 30 days.,$0.00,,,,,,,,,"The Indiscreet Confession -- The Contract -- The Quid Pro Quo, or The Mistakes.",,,,,,,,
"La Fontaine, Jean de, 1621-1695",,Tales and Novels of J. de La Fontaine — Volume 01,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,5275,"Mar 1, 2004",Public domain in the USA.,25 downloads in the last 30 days.,$0.00,,,,,,,,,La Fontaine's life -- Joconde.,,,,,,,,
"La Fontaine, Jean de, 1621-1695",,Tales and Novels of J. de La Fontaine — Volume 22,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,5296,"Mar 1, 2004",Public domain in the USA.,22 downloads in the last 30 days.,$0.00,,,,,,,,,"The Picture -- The Pack-Saddle -- The Ear-maker, and The Mould-Mender.",,,,,,,,
"La Fontaine, Jean de, 1621-1695",,Tales and Novels of J. de La Fontaine — Volume 21,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,5295,"Mar 1, 2004",Public domain in the USA.,21 downloads in the last 30 days.,$0.00,,,,,,,,,The Spectacles -- The Bucking Tub -- The Impossible Thing.,,,,,,,,
"La Fontaine, Jean de, 1621-1695",,Tales and Novels of J. de La Fontaine — Volume 06,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,5280,"Mar 1, 2004",Public domain in the USA.,19 downloads in the last 30 days.,$0.00,,,,,,,,,The Magick Cup.,,,,,,,,
"La Fontaine, Jean de, 1621-1695",,Tales and Novels of J. de La Fontaine — Volume 15,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,5289,"Mar 1, 2004",Public domain in the USA.,18 downloads in the last 30 days.,$0.00,,,,,,,,,The Mandrake -- The Rhemese.,,,,,,,,
"La Fontaine, Jean de, 1621-1695",,Tales and Novels of J. de La Fontaine — Volume 20,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,5294,"Mar 1, 2004",Public domain in the USA.,18 downloads in the last 30 days.,$0.00,,,,,,,,,The Devil in Hell -- Neighbor Peter's Mare.,,,,,,,,
"La Fontaine, Jean de, 1621-1695",,Tales and Novels of J. de La Fontaine — Volume 18,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,5292,"Mar 1, 2004",Public domain in the USA.,17 downloads in the last 30 days.,$0.00,,,,,,,,,The Case of Conscience -- The Devil of Pope-fig Island -- Feronde.,,,,,,,,
"La Fontaine, Jean de, 1621-1695",,Tales and Novels of J. de La Fontaine — Volume 02,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,5276,"Mar 1, 2004",Public domain in the USA.,16 downloads in the last 30 days.,$0.00,,,,,,,,,The Cudgelled and Contented Cuckold -- The Husband Confessor -- The Cobbler -- The Peasant and His Angry Lord.,,,,,,,,
"La Fontaine, Jean de, 1621-1695",,Tales and Novels of J. de La Fontaine — Volume 04,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,5278,"Mar 1, 2004",Public domain in the USA.,16 downloads in the last 30 days.,$0.00,,,,,,,,,The Old Man's Calendar -- The Avaricious Wife and Tricking Galant -- The Jealous Husband -- The Gascon Unpunished.,,,,,,,,
"La Fontaine, Jean de, 1621-1695",,Tales and Novels of J. de La Fontaine — Volume 17,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,5291,"Mar 1, 2004",Public domain in the USA.,16 downloads in the last 30 days.,$0.00,,,,,,,,,The Progress of Wit -- The Sick Abbess -- The Truckers.,,,,,,,,
"La Fontaine, Jean de, 1621-1695",,Tales and Novels of J. de La Fontaine — Volume 16,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,5290,"Mar 1, 2004",Public domain in the USA.,16 downloads in the last 30 days.,$0.00,,,,,,,,,The Amorous Courtesan -- Nicaise.,,,,,,,,
"La Fontaine, Jean de, 1621-1695",,"The Tales and Novels, v9: Belphegor and Others",English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,5282,"Mar 1, 2004",Public domain in the USA.,15 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"La Fontaine, Jean de, 1621-1695",,Tales and Novels of J. de La Fontaine — Volume 09,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,5283,"Mar 1, 2004",Public domain in the USA.,15 downloads in the last 30 days.,$0.00,,,,,,,,,Belphegor — The Little Bell — The Glutton.,,,,,,,,
"La Fontaine, Jean de, 1621-1695",,Tales and Novels of J. de La Fontaine — Volume 11,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,5285,"Mar 1, 2004",Public domain in the USA.,15 downloads in the last 30 days.,$0.00,,,,,,,,,Preface to The Second Book -- Friar Philip's Geese -- Richard Minutolo.,,,,,,,,
"La Fontaine, Jean de, 1621-1695",,Tales and Novels of J. de La Fontaine — Volume 23,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,5297,"Mar 1, 2004",Public domain in the USA.,14 downloads in the last 30 days.,$0.00,,,,,,,,,"The River Scamander -- The Confidant Without Knowing It, or The Strategem -- The Clyster.",,,,,,,,
"La Fontaine, Jean de, 1621-1695",,Tales and Novels of J. de La Fontaine — Volume 03,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,5277,"Mar 1, 2004",Public domain in the USA.,13 downloads in the last 30 days.,$0.00,,,,,,,,,The Muleteer -- The Servant Girl Justified -- The Three Gossips' Wager.,,,,,,,,
"La Fontaine, Jean de, 1621-1695",,Tales and Novels of J. de La Fontaine — Volume 19,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,5293,"Mar 1, 2004",Public domain in the USA.,12 downloads in the last 30 days.,$0.00,,,,,,,,,The Psalter King -- Candaules and the Doctor of Laws.,,,,,,,,
"La Fontaine, Jean de, 1621-1695",,Tales and Novels of J. de La Fontaine — Volume 10,English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, French -- Translations into English",Text,5284,"Mar 1, 2004",Public domain in the USA.,12 downloads in the last 30 days.,$0.00,,,,,,,,,The Two Friends -- The Country Justice -- Alice Sick -- The Kiss Returned -- Sister Jane -- An Imitation of Anacreon -- Another Imitation of Anacreon.,,,,,,,,
"Lang, Andrew, 1844-1912",,The Blue Fairy Book,English,PZ: Language and Literatures: Juvenile belles lettres,Folklore,Text,503,"Oct 21, 2005",Public domain in the USA.,1536 downloads in the last 30 days.,$0.00,,,,,,,,,"The bronze ring -- Prince Hyacinth and the dear little princess -- East of the sun and West of the moon -- The yellow dwarf -- Little Red Riding-Hood -- The sleeping beauty in the wood -- Cinderella; or, the little glass slipper -- Aladdin and the wonderful lamp -- The tale of a youth who set out to learn what fear was -- Rumpelstiltzkin -- Beauty and the Beast -- The Master-Maid -- Why the sea is salt -- The Master cat; or, Puss in boots -- Felicia and the pot of pinks -- The white cat -- The water-lily -- The gold-spinners -- The terrible head -- The story of pretty Goldilocks -- The history of Whittington -- The wonderful sheep -- Little Thumb -- The forty thieves -- Hansel and Grettel -- Snow-White and Rose-Red -- The goose-girl -- Toads and diamonds -- Prince Darling -- Blue Beard -- Trusty John -- The brave little tailor -- A voyage to Lilliput -- The princess on the glass hill -- The story of Prince Ahmed and the fairy Paribanou -- The history of Jack the giant-killer -- The black bull of Norroway -- The Red Etin.",,,,,,,,
"Baldwin, James, 1841-1925",,Fifty Famous Stories Retold,English,PZ: Language and Literatures: Juvenile belles lettres,Readers,Text,18442,"May 23, 2006",Public domain in the USA.,886 downloads in the last 30 days.,$0.00,,04017302,,,,,,,,,,,,,,,
"Lang, Andrew, 1844-1912",,The Fairy Books of Andrew LangA Project Gutenberg Linked Index to All Stories in the 12 Volumes,English,PZ: Language and Literatures: Juvenile belles lettres,Folklore,Text,30580,"Dec 2, 2009",Public domain in the USA.,457 downloads in the last 30 days.,$0.00,"Widger, David, 1932-",,,,,,,,,,,,,,,,
"Keightley, Thomas, 1789-1872",,The Fairy MythologyIllustrative of the Romance and Superstition of Various Countries,English,"GR: Geography, Anthropology, Recreation: Folklore",Folk literature,Text,41006,"Oct 9, 2012",Public domain in the USA.,433 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Lang, Andrew, 1844-1912",,The Yellow Fairy Book,English,PZ: Language and Literatures: Juvenile belles lettres,Folklore,Text,640,"Aug 1, 1996",Public domain in the USA.,357 downloads in the last 30 days.,$0.00,,,,,,,,,"The cat and the mouse in partnership -- The six swans -- The dragon of the North -- Story of the emperor's new clothes -- The golden crab -- The iron stove -- The dragon and his grandmother -- The donkey cabbage -- The little green frog -- The seven-headed serpent -- The grateful beasts -- The giants and the herd-boy -- The invisible prince -- The crow -- How six men travelled through the wide world -- The wizard king -- The nixy -- The glass mountain -- Alphege, or The green monkey -- Fairer-than-a-fairy -- The three brothers -- The boy and the wolves, or The broken promise -- The glass axe -- The dead wife -- In the land of souls -- The white duck -- The witch and her servants -- The magic ring -- The flower queen's daughter -- The flying ship -- The snow-daughter and the fire-son -- The story of King Frost -- The death of the sun-hero -- The witch -- The hazel-nut child -- The story of Big Klaus and Little Klaus -- Prince Ring -- The swineherd -- How to tell a true princess -- The blue mountains -- The tinder-box -- The witch in the stone boat -- Thumbelina -- The nightingale -- Hermod and Hadvor -- The steadfast tin-soldier -- Blockhead Hans -- A story about a darning-needle.",,,,,,,,
"Lang, Andrew, 1844-1912",,The Pink Fairy Book,English,PZ: Language and Literatures: Juvenile belles lettres,Folklore,Text,5615,"May 1, 2004",Public domain in the USA.,336 downloads in the last 30 days.,$0.00,,,,,,,,,"The Cat's Elopement -- How the Dragon was Tricked -- The Goblin and the Grocer -- The House in the Wood -- Uraschimataro and the Turtle -- The Slaying of the Tanuki -- The Flying Trunk -- The Snow Man. -- The Shirt-Collar -- The Princess in the Chest -- The Three Brothers -- The Snow-queen -- The Fir-Tree -- Hans, the Mermaid's Son -- Peter Bull -- The Bird 'Grip' -- Snowflake -- I know what I have learned -- The Cunning Shoemaker -- The King who would have a Beautiful Wife -- Catherine and her Destiny -- How the Hermit helped to win the King's Daughter -- The Water of Life -- The Wounded Lion -- The Man without a Heart -- The Two Brothers -- Master and Pupil -- The Golden Lion -- The Sprig of Rosemary -- The White Dove -- The Troll's Daughter -- Esben and the Witch -- Princess Minon-Minette -- Maiden Bright-eye -- The Merry Wives -- King Lindorm -- The Jackal, the Dove, and the Panther -- The Little Hare -- The Sparrow with the Slit Tongue -- The Story of Ciccu -- Don Giovanni de la Fortuna.",,,,,,,,
"Lang, Andrew, 1844-1912",,The Violet Fairy Book,English,PZ: Language and Literatures: Juvenile belles lettres,Folklore,Text,641,"Sep 1, 1996",Public domain in the USA.,327 downloads in the last 30 days.,$0.00,,,,,,,,,"A tale of the Tontlawald -- The finest liar in the world -- The story of three wonderful beggars -- Schippeitaro -- The three princes and their beasts -- The goat's ears of the Emperor Trojan -- The nine pea-hens and the golden apples -- The lute player -- The grateful prince -- The child who came from an egg -- Stan Bolovan -- The two frogs -- The story of a gazelle -- How a fish swam in the air and a hare in the water -- Two in a sack -- The envious neighbour -- The fairy of the dawn -- The enchanted knife -- Jesper who herded the hares -- The underground workers -- The history of Dwarf Long Nose -- The Nunda, eater of people -- The story of Hassebu -- The maiden with the wooden helmet -- The monkey and the jelly-fish -- The headless dwarfs -- The young man who would have his eyes opened -- The boys with the golden stars -- The frog -- The princess who was hidden underground -- The girl who pretended to be a boy -- The story of Halfman -- The prince who wanted to see the world -- Virgililus the sorcerer -- Mogarzea and his son.",,,,,,,,
"Lang, Andrew, 1844-1912",,The Orange Fairy Book,English,PZ: Language and Literatures: Juvenile belles lettres,Folklore,Text,3027,"Jan 1, 2002",Public domain in the USA.,283 downloads in the last 30 days.,$0.00,,,,,,,,,"The Story of the Hero Makoma -- The Magic Mirror From the Senna -- Story of the King Who Would See Paradise -- How Isuro the Rabbit Tricked Gudu -- Ian, the Soldier's Son -- The Fox and the Wolf -- How Ian Direach Got the Blue Falcon -- The Ugly Duckling -- The Two Caskets -- The Goldsmith's Fortune -- The Enchanted Wreath -- The Foolish Weaver -- The Clever Cat -- The Story of Manus -- Pinkel the Thief -- The Adventures of a Jackal -- The Adventures of the Jackal's Eldest Son -- The Adventures of the Younger Son of the Jackal -- The Three Treasures of the Giants -- The Rover of the Plain -- The White Doe -- The Girl-Fish -- The Owl and the Eagle -- The Frog and the Lion Fairy -- The Adventures of Covan the Brown-haired -- The Princess Bella-Flor--  The Bird of Truth -- The Mink and the Wolf -- Adventures of an Indian Brave -- How the Stalos were Tricked -- Andras Baive -- The White Slipper -- The Magic Book.",,,,,,,,
"Baum, L. Frank (Lyman Frank), 1856-1919","Parrish, Maxfield, 1870-1966",Mother Goose in Prose,English,PZ: Language and Literatures: Juvenile belles lettres,Nursery rhymes -- Adaptations,Text,5312,"Mar 1, 2004",Public domain in the USA.,274 downloads in the last 30 days.,$0.00,,,,,,,,,"Sing a song o' sixpence -- The story of Little Boy Blue -- The cat and the fiddle -- The black sheep -- Old King Cole -- Mistress Mary -- The wond'rous wise man -- What Jack Horner did -- The man in the moon -- The jolly miller -- The little man and his little gun -- Hickory dickory dock -- Little Bo-Peep -- The story of Tommy Tucker -- Pussy-cat Mew -- How the beggars came to town -- Tom, the piper's son -- Humpty Dumpty -- The woman who lived in a shoe -- Little Miss Muffet -- Three wise men of Gotham -- Little Bun Rabbit.",,,,,,,,
