Author,Title,Contents,Language,LoC Class,Subject,Category,EBook-No.,Release Date,Copyright Status,Downloads,Price,Illustrator,Compiler,Editor,Translator,Imprint,Note,LoC No.,Alternate Title,Commentator,"Author of introduction, etc.",Series Title,Contributor,Composer,Collaborator,Adapter,Performer,Uniform Title,Creator
"Fox, Edward Lyell, 1887-",Behind the Scenes in Warring Germany,,English,D501: History: General and Eastern Hemisphere: World War I (1914-1918),"World War, 1914-1918 -- Personal narratives",Text,40792,"Sep 19, 2012",Public domain in the USA.,26 downloads in the last 30 days.,$0.00,,,,,,,15012102,,,,,,,,,,,
"Malkin, Arthur Thomas",The Gallery of Portraits: with Memoirs. Volume 1 (of 7),Dante -- Sir H. Davy -- Kosciusko -- Flaxman -- Copernicus -- Milton -- Jas. Watt -- Turenne -- Hon. R. Boyle -- Sir I. Newton -- Michael Angelo -- Moliere -- C. J. Fox -- Bossuet -- Lorenzo de Medici -- Geo. Buchanan -- Fénélon -- Sir C. Wren -- Corneille -- Halley -- Sully -- N. Poussin -- Harvey -- Sir J. Banks.,English,CT: History: Biography,Biography,Text,55047,"Jul 5, 2017",Public domain in the USA.,25 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Drake, Benjamin, 1794-1841","Great Indian Chief of the West; Or, Life and Adventures of Black Hawk",,English,E011: History: America: America,Fox Indians -- History,Text,18290,"Apr 30, 2006",Public domain in the USA.,25 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Haviland, Maud D. (Maud Doria), 1891?-1941",Lives of the Fur Folk,The story of Redpad the fox: The spring rains. The hunters. First blood. How the debt was paid. The sheep slayer. From Kilmanagh to Knockdane -- The story of Fluff-Button the rabbit: How Fluff-Button cried quits. The spring longing. The invasion of Garry's Hill. The fear that was in the way. Under the moon -- Stories from the life of Grimalkin the cat: The first hunting. The stealthy death. The collared buck. Zoe. Where the battle is to the strong -- The biography of Stubbs the badger: The twilight hunters. Borrigan's baiting. The Larch Hill 'earth.',English,QL: Science: Zoology,Animals,Text,37127,"Aug 19, 2011",Public domain in the USA.,25 downloads in the last 30 days.,$0.00,"Caldwell, E. (Edmund G.)",,,,,,,,,,,,,,,,,
"Wilson, George Grafton, 1863-1951",International Law,,English,"KZ: Law in general, Comparative and uniform law, Jurisprudence: Law of nations",International law,Text,41759,"Jan 2, 2013",Public domain in the USA.,25 downloads in the last 30 days.,$0.00,,,,,,,01022924,,,,,,,,,,,
Unknown,History of Beasts,The cat -- The dog -- The cow -- The fox -- The goat -- The horse -- The ass -- The lamb -- The sheep -- The lion -- The tiger -- The serpent -- The reindeer.,English,QL: Science: Zoology,Animals -- Juvenile literature,Text,32605,"May 30, 2010",Public domain in the USA.,24 downloads in the last 30 days.,$0.00,,,,,,,2013656741,,,,,,,,,,,
"Ostrander, Isabel, 1883-1924",The Crevice,,English,PS: Language and Literatures: American and Canadian literature,Detective and mystery stories,Text,29331,"Jul 6, 2009",Public domain in the USA.,23 downloads in the last 30 days.,$0.00,"Grefé, Will",,,,,,15017132,,,,,,,,,,,
"Pitt-Rivers, Augustus Henry Lane-Fox, 1827-1900",On the Development and Distribution of Primitive Locks and Keys,,English,TS: Technology: Manufactures,Locks and keys,Text,44022,"Oct 25, 2013",Public domain in the USA.,23 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Melville, Lewis, 1874-1932",Some Eccentrics & a Woman,"Eighteenth century men about town -- Some exquisites of the Regency -- A forgotten satirist: ""Peter Pindar"" -- Sterne's Eliza -- The Demoniacs -- William Beckford of Fonthill Abbey -- Charles James Fox -- Philip, Duke of Wharton.",English,"DA: History: General and Eastern Hemisphere: Great Britain, Ireland, Central Europe",Great Britain -- History -- 18th century -- Biography,Text,50606,"Dec 4, 2015",Public domain in the USA.,23 downloads in the last 30 days.,$0.00,,,,,,,,Some Eccentrics and a Woman,,,,,,,,,,
"Fox, John, Jr., 1862-1919",A Knight of the Cumberland,,English,PS: Language and Literatures: American and Canadian literature,Kentucky -- Fiction,Text,324,"Jul 9, 2008",Public domain in the USA.,22 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Bailey, Arthur Scott, 1877-1949",The Tale of Tommy Fox,,English,PZ: Language and Literatures: Juvenile belles lettres,Wild animals as pets -- Juvenile fiction,Text,5955,"Jun 1, 2004",Public domain in the USA.,22 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Pease, Alfred E. (Alfred Edward), Sir, 1857-1939",Hunting Reminiscences,Reminiscences of the Cambridge Drag and the House of Commons Steeplechases -- The life of a hunter -- Hounds -- Hare-hunting -- Fox-hunting -- Fox-hunting (continued) -- Cub-hunting -- The greatest run I ever saw -- Badger-hunting.,English,SK: Agriculture: Hunting sports,Hunting,Text,59850,"Jul 3, 2019",Public domain in the USA.,22 downloads in the last 30 days.,$0.00,,,,,,,64058404,,,,,,,,,,,
"Tregarthen, J. C. (John Coulson), 1854-1933",Master Reynard: The History of a Fox,,English,PR: Language and Literatures: English literature,Foxes -- Fiction,Text,44347,"Dec 4, 2013",Public domain in the USA.,22 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Fox, Charles James, 1749-1806",A History of the Early Part of the Reign of James the Second,,English,"DA: History: General and Eastern Hemisphere: Great Britain, Ireland, Central Europe","Great Britain -- History -- James II, 1685-1688",Text,4245,"Jul 1, 2003",Public domain in the USA.,22 downloads in the last 30 days.,$0.00,,,"Morley, Henry, 1822-1894",,,,,,,,,,,,,,,
"Somerville, E. Oe. (Edith Oenone), 1858-1949",Some Irish Yesterdays,"An outpost of Ireland -- Picnics -- Boon companions -- The biography of a pump -- Hunting Mahatmas -- A Patrick's Day hunt -- Alsatia -- ""In sickness and in health"" -- Horticultural -- Out of hand -- A record of holiday -- Lost, stolen, or strayed -- Children of the captivity -- Slipper's A B C of fox hunting.",English,"DA: History: General and Eastern Hemisphere: Great Britain, Ireland, Central Europe",Ireland -- Social life and customs,Text,53348,"Oct 22, 2016",Public domain in the USA.,21 downloads in the last 30 days.,$0.00,,,,,,Illustrated by Somerville.,07035223,,,,,,,,,,,
