Author,Title,Contents,Language,LoC Class,Subject,Category,EBook-No.,Release Date,Copyright Status,Downloads,Price,Illustrator,Compiler,Editor,Translator,Imprint,Note,LoC No.,Alternate Title,Commentator,"Author of introduction, etc.",Series Title,Contributor,Composer,Collaborator,Adapter,Performer,Uniform Title,Creator
"Fox, Frances Margaret, 1870-1959",The Rainbow Bridge,,English,PZ: Language and Literatures: Juvenile belles lettres,Adopted children -- Juvenile fiction,Text,55837,"Oct 28, 2017",Public domain in the USA.,15 downloads in the last 30 days.,$0.00,"Merrill, Frank T., 1848-1923",,,,,,,,,,,,,,,,,
"Ostrander, Isabel, 1883-1924",Anything Once,,English,PS: Language and Literatures: American and Canadian literature,Fiction,Text,30640,"Dec 9, 2009",Public domain in the USA.,15 downloads in the last 30 days.,$0.00,"Stahr, Paul, 1883-1953",,,,,,,,,,,,,,,,,
"Buchanan, Robert Williams, 1841-1901","Foxglove Manor: A Novel, Volume 1 (of 3)",,English,PR: Language and Literatures: English literature,Religious fiction,Text,48471,"Mar 12, 2015",Public domain in the USA.,15 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Montgomery, Frances Trego, 1858-1925","Zip, the Adventures of a Frisky Fox Terrier",,English,PZ: Language and Literatures: Juvenile belles lettres,Dogs -- Juvenile fiction,Text,24482,"Jan 31, 2008",Public domain in the USA.,15 downloads in the last 30 days.,$0.00,"Higgins, Violet Moore",,,,,,,,,,,,,,,,,
"Fox, Frank, 1874-1960",England,,English,"DA: History: General and Eastern Hemisphere: Great Britain, Ireland, Central Europe",England -- Social life and customs,Text,38790,"Feb 7, 2012",Public domain in the USA.,14 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Richardson, Dorothy M. (Dorothy Miller), 1873-1957",Gleanings from the Works of George Fox,,English,"BX: Philosophy, Psychology, Religion: Christianity: Churches, Church movements","Fox, George, 1624-1691",Text,57926,"Sep 18, 2018",Public domain in the USA.,14 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Clapham, Richard, 1878-",Foxhunting on the Lakeland Fells,,English,SK: Agriculture: Hunting sports,Hunting -- Great Britain,Text,57007,"Apr 20, 2018",Public domain in the USA.,14 downloads in the last 30 days.,$0.00,,,,,,,20017000,,,"Ullswater, James William Lowther, Viscount, 1855-1949",,,,,,,,
"Whyte-Melville, G. J. (George John), 1821-1878","Riding Recollections, 5th ed.",Kindness -- Coercion -- The use of the bridle -- The abuse of the spur -- Hand -- Seat -- Valour -- Discretion -- Irish hunters -- Thorough-bred horses -- Riding to fox-hounds -- Riding at stag-hounds -- The provinces -- The shires.,English,SK: Agriculture: Hunting sports,Hunt riding,Text,35521,"Mar 8, 2011",Public domain in the USA.,14 downloads in the last 30 days.,$0.00,"Giberne, Edgar",,,,,,,,,,,,,,,,,
"Garis, Howard Roger, 1873-1962","Uncle Wiggily Goes Swimming; Or, How the Frog Boys Surprised the Fox","Uncle Wiggily goes swimming; or, How the frog boys surprised the fox -- Uncle Wiggily distributes Thanksgiving cakes -- The bunny rabbit gentleman makes a kite.",English,PZ: Language and Literatures: Juvenile belles lettres,Tricksters -- Juvenile fiction,Text,61735,"Apr 2, 2020",Public domain in the USA.,14 downloads in the last 30 days.,$0.00,"Campbell, Lang, 1882-1937",,,,,,24013279,,,,,,,,,,,
"Fox, John, Jr., 1862-1919",In Happy Valley,The Courtship of Allaphair -- The Compact of Christopher -- The Lord's Own Level -- The Marquise of Queensberry -- His Last Christmas Gift -- The Angel from Viper -- The Pope of the Big Sandy -- The Goddess of Happy Valley -- The Battle-Prayer of Parson Small -- The Christmas Tree on Pigeon.,English,PS: Language and Literatures: American and Canadian literature,Kentucky -- Social life and customs -- Fiction,Text,20292,"Jan 5, 2007",Public domain in the USA.,14 downloads in the last 30 days.,$0.00,"Yohn, F. C. (Frederick Coffay), 1875-1933",,,,,,,,,,,,,,,,,
"Peacock, Wilbur S., 1911-1979",Planet of No-Return,,English,PS: Language and Literatures: American and Canadian literature,Venus (Planet) -- Fiction,Text,62261,"May 28, 2020",Public domain in the USA.,14 downloads in the last 30 days.,$0.00,"Fox, Matt, 1906-1988",,,,,,,,,,,,,,,,,
"Fox, Richard C.",Two New Pelycosaurs from the Lower Permian of Oklahoma,,English,QH: Science: Natural history,Paleontology -- Permian,Text,30620,"Dec 7, 2009",Public domain in the USA.,13 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Fox, John, Jr., 1862-1919",A Mountain Europa,,English,PS: Language and Literatures: American and Canadian literature,Kentucky -- Fiction,Text,3025,"Jan 1, 2002",Public domain in the USA.,13 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Smith, Thomas, 1790-1878","The Life of a Fox, Written by Himself",,English,SK: Agriculture: Hunting sports,Fox hunting,Text,58769,"Jan 26, 2019",Public domain in the USA.,13 downloads in the last 30 days.,$0.00,"Alken, Henry Thomas, 1784-1851",,,,,,,,,"Willoughby de Broke, Richard Greville Verney, baron, 1869-1923",,,,,,,,
"Buchanan, Robert Williams, 1841-1901","Foxglove Manor: A Novel, Volume 2 (of 3)",,English,PR: Language and Literatures: English literature,Religious fiction,Text,48472,"Mar 12, 2015",Public domain in the USA.,13 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Fox, Frances Barton, 1887-",The Heart of Arethusa,,English,PS: Language and Literatures: American and Canadian literature,Young women -- Fiction,Text,23856,"Dec 14, 2007",Public domain in the USA.,12 downloads in the last 30 days.,$0.00,"Read, F. W. (Frederick William), 1863-",,,,,,,,,,,,,,,,,
"Carter, Herbert, active 1909-1917","The Boy Scouts Along the Susquehanna; or, The Silver Fox Patrol Caught in a Flood",,English,PZ: Language and Literatures: Juvenile belles lettres,Susquehanna River -- Juvenile fiction,Text,45667,"May 17, 2014",Public domain in the USA.,12 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Gregor, Elmer Russell, 1878-",Running Fox,,English,PZ: Language and Literatures: Juvenile belles lettres,Indians of North America -- Juvenile fiction,Text,43864,"Oct 2, 2013",Public domain in the USA.,12 downloads in the last 30 days.,$0.00,"Hutchison, D. C., 1869-1954",,,,,,18021373,,,,,,,,,,,
"Hinkle, Thomas C. (Thomas Clark), 1876-1949",Doctor Rabbit and Brushtail the Fox,,English,PZ: Language and Literatures: Juvenile belles lettres,Foxes -- Juvenile fiction,Text,18667,"Jun 23, 2006",Public domain in the USA.,12 downloads in the last 30 days.,$0.00,"Winter, Milo, 1888-1956",,,,,,,,,,,,,,,,,
Various,Appreciations of Richard Harding Davis,,English,PS: Language and Literatures: American and Canadian literature,"Authors, American -- 19th century -- Biography",Text,406,"Jan 1, 1996",Public domain in the USA.,12 downloads in the last 30 days.,$0.00,,,,,,"Appreciations by Gouverneur Morris, Booth Tarkington, Charles Dana Gibson, E. L. Burlingame, Augustus Thomas, Theodore Roosevelt, Irvin S. Cobb, John Fox, Jr., Finley Peter Dunne, Winston Churchill, Leonard Wood, John T. McCutcheon.",,,,,,,,,,,,
"Davis, Foxcroft, 1860-1916",Mrs. Darrell,,English,PS: Language and Literatures: American and Canadian literature,Washington (D.C.) -- Social life and customs -- Fiction,Text,47378,"Nov 17, 2014",Public domain in the USA.,11 downloads in the last 30 days.,$0.00,"Potts, William Sherman, 1876-1930",,,,,,,,,,,,,,,,,
"Buchanan, Robert Williams, 1841-1901","Foxglove Manor: A Novel, Volume 3 (of 3)",,English,PR: Language and Literatures: English literature,Religious fiction,Text,48473,"Mar 12, 2015",Public domain in the USA.,11 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Fox, Frances Margaret, 1870-1959",Little Bear at Work and at Play,,English,PZ: Language and Literatures: Juvenile belles lettres,Bears -- Juvenile fiction,Text,7764,"Mar 1, 2005",Public domain in the USA.,11 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Daingerfield, Foxhall, 1887-1933",The Southern CrossA Play in Four Acts,,English,PS: Language and Literatures: American and Canadian literature,"United States -- History -- Civil War, 1861-1865 -- Drama",Text,15629,"Apr 15, 2005",Public domain in the USA.,11 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
,English Fairy Tales,"Tom tit tot -- The three sillies -- The rose-tree -- The old woman and her pig -- How jack went to seek his fortune -- Mr. Vinegar -- Nix nought nothing -- Jack Hannaford -- Binnorie -- Mouse and mouser -- Cap o' rushes -- Teeny-tiny -- Jack and the beanstalk -- The story of the three little pigs -- The master and his pupil -- Titty mouse and tatty mouse -- Jack and his golden snuff-box -- The story of the three bears -- Jack the giant-killer -- Henny-penny -- Childe Rowland -- Molly Whuppie -- The red ettin -- The golden arm -- The history of Tom Thumb -- Mr. Fox -- Lazy Jack -- Johnny-cake -- Earl Mar's daughter -- Mr. Miacca -- Whittington and his cat -- The strange visitor -- The laidly worm of Spindleston Heugh -- The cat and the mouse -- The fish and the ring -- The magpie's nest -- Kate Crackernuts -- The cauld lad of Hilton -- The ass, the table, and the stick -- Fairy ointment -- The well of the world's end -- Master of all masters -- The three heads of the well.",English,"PN: Language and Literatures: Literature: General, Criticism, Collections",Fairy tales -- England,Text,7439,"Feb 1, 2005",Public domain in the USA.,921 downloads in the last 30 days.,$0.00,,"Jacobs, Joseph, 1854-1916",,,,,,,,,,,,,,,,
,The Literary World Seventh Reader,"Rip Van Winkle, by Irving -- The Great Stone Face, by Hawthorne -- The Courtship of Miles Standish, by Longfellow -- The Friendship of Nantaquas, by Johnston -- Harry Esmond's Boyhood, by Thackeray -- The Family Holds Its Head Up, by Goldsmith -- The Little Boy in the Balcony, by Grady -- Ariel's Triumph, by Tarkington -- The Cloud, by Shelley -- New England Weather, by Twain -- The First Snowfall, by Lowell -- Old Ephraim, by Roosevelt -- Midwinter, by Trowbridge -- A Georgia Fox Hunt, by Harris -- Rain and Wind, by Cawein -- The Southern Sky, by Maury -- Daffodils, by Wordsworth -- Dawn, by Everett -- Spring, by Timrod -- Among the Cliffs, by Craddock -- A Deal in Bears, by Hyne -- Lochinvar, by  Scott -- In Labrador, by Wells -- The Bugle Song, by Tennyson -- The Siege of the Castle, by Scott -- Sea Fever, by Masefield -- A Greyport Legend, by Harte -- A Hunt Beneath The Ocean, by Verne -- Under Seas, by Tolstoi -- A Voyage to the Moon, by Poe -- The Great Stone of Sardis, by Stockton -- A Stop At Suzanne's, by Clover -- The Making of a Man, by Locke -- In Flanders Fields, by McCrae -- In Flanders Fields (An Answer), by Galbraith -- A Ballad Of Heroes, by Dobson.",English,PE: Language and Literatures: English,Readers,Text,19721,"Nov 5, 2006",Public domain in the USA.,735 downloads in the last 30 days.,$0.00,,,"Withers, Sarah",,,,,,,,,,,,,,,
,Russian Fairy Tales: A Choice Collection of Muscovite Folk-lore,"The Fiend -- The Dead Mother -- The Dead Witch -- The Treasure -- The Cross-Surety -- The Awful Drunkard -- The Bad Wife -- The Golovikha -- The Three Copecks -- The Miser -- The Fool and the Birch-Tree -- The Mizgir -- The Smith and the Demon -- Ivan Popyalof -- The Norka -- Marya Morevna -- Koshchei the Deathless -- The Water Snake -- The Water King and Vasilissa the Wise -- The Baba Yaga -- Vasilissa the Fair -- The Witch -- The Witch and the Sun's Sister -- One-Eyed Likho -- Woe -- Friday -- Wednesday -- The Léshy -- Vazuza and Volga -- Sozh and Dnieper -- The Metamorphosis of the Dnieper, the Volga, and the Dvina -- Frost -- The Blind Man and the Cripple -- Princess Helena the Fair -- Emilian the Fool -- The Witch Girl -- The Headless Princess -- The Soldier's Midnight Watch -- The Warlock -- The Fox-Physician -- The Fiddler in Hell -- The Ride on the Gravestone -- The Two Friends -- The Shroud -- The Coffin-Lid -- The Two Corpses -- The Dog and the Corpse -- The Soldier and the Vampire -- Elijah the Prophet and Nicholas -- The Priest with the Greedy Eyes -- The Hasty Word.",English,"GR: Geography, Anthropology, Recreation: Folklore",Folklore -- Russia,Text,22373,"Aug 22, 2007",Public domain in the USA.,662 downloads in the last 30 days.,$0.00,,,,"Ralston, William Ralston Shedden, 1828-1889","New York :  Hurst & Co.,  [aft. 1872]",,,,,,,,,,,,,
,The Green Fairy Book,"The Blue Bird -- The Half-Chick -- The Story of Caliph Stork -- The Enchanted Watch -- Rosanella -- Sylvain and Jocosa -- Fairy Gifts -- Prince Narcissus and the Princess Potentilla -- Prince Featherhead and the Princess Celandine -- The Three Little Pigs -- Heart of Ice -- The Enchanted Ring -- The Snuff-box -- The Golden Blackbird -- The Little Soldier -- The Magic Swan -- The Dirty Shepherdess -- The Enchanted Snake -- The Biter Bit -- King Kojata -- Prince Fickle and Fair Helena -- Puddocky -- The Story of Hok Lee and the Dwarfs -- The Story of the Three Bears -- Prince Vivien and the Princess Placida -- Little One-eye, Little Two-eyes, and Little Three-eyes -- Jorinde and Joringel -- Allerleirauh; or, the Many-furred Creature -- The Twelve Huntsmen -- Spindle, Shuttle, and Needle -- The Crystal Coffin -- The Three Snake-leaves -- The Riddle -- Jack my Hedgehog -- The Golden Lads -- The White Snake -- The Story of a Clever Tailor -- The Golden Mermaid -- The War of the Wolf and the Fox -- The Story of the Fisherman and his Wife -- The Three Musicians -- The Three Dogs.",English,PZ: Language and Literatures: Juvenile belles lettres,Fairy tales,Text,7277,"Jan 1, 2005",Public domain in the USA.,256 downloads in the last 30 days.,$0.00,,,"Lang, Andrew, 1844-1912",,,,,,,,,,,,,,,
,Short Stories for High Schools,"Preface -- Introduction -- The first Christmas tree / by Henry Van Dyke -- A French tar-baby / by Joel Chandler Harris -- Sonny's christenin' / by Ruth McEnery Stuart -- Christmas night with Satan / by John Fox, Jr. -- A nest-egg / by James Whitcomb Riley -- Wee Willie Winkle / by Rudyard Kipling -- The gold bug / by Edgar Allan Poe -- The ransom of Red Chief / by O. Henry -- The freshman full-back / by Ralph D. Paine -- Gallegher / by Richard Harding Davis -- The jumping frog / by Mark Twain -- The lady or the tiger? / by Frank R. Stockton -- The outcasts of Poker Flat / by Francis Bret Harte -- The revolt of mother / by Mary E. Wilkins Freeman -- Marse Chan / by Thomas Nelson Page -- ""Posson Jone'"" / by George W. Cable -- Our aromatic uncle / by Henry Cuyler Bunner -- Quality / by John Galsworthy -- The triumph of night / by Edith Wharton -- A messenger / by Mary Raymond Shipman Andrews -- Markheim / by Robert Louis Stevenson.",English,PS: Language and Literatures: American and Canadian literature,"Short stories, American",Text,50543,"Nov 23, 2015",Public domain in the USA.,192 downloads in the last 30 days.,$0.00,,,"Mikels, Rosa Mary Redding, 1862-",,,,15020913,,,,,,,,,,,
,The Grey Fairy Book,"Donkey Skin -- The Goblin Pony -- An Impossible Enchantment -- The Story of Dschemil and Dachemila -- Janni and the Draken -- The Partnership of the Thief and the Liar -- Fortunatus and his Purse -- The Goat-faced Girl -- What came of picking Flowers -- The Story of Bensurdatu -- The Magician's Horse -- The Little Gray Man -- Herr Lazarus and the Draken -- The Story of the Queen of the Flowery Isles -- Udea and her Seven Brothers -- The White Wolf -- Mohammed with the Magic Finger -- Bobino -- The Dog and the Sparrow -- The Story of the Three Sons of Hali -- The Story of the Fair Circassians -- The Jackal and the Spring The Bear -- The Sunchild The Daughter of Buk Ettemsuch -- Laughing Eye and Weeping Eye, or the Limping Fox -- The Unlooked for Prince -- The Simpleton -- The Street Musicians -- The Twin Brothers -- Cannetella -- The Ogre -- A Fairy's Blunder -- Long, Broad, and Quickeye -- Prunella.",English,PZ: Language and Literatures: Juvenile belles lettres,Folklore,Text,6746,"Oct 1, 2004",Public domain in the USA.,185 downloads in the last 30 days.,$0.00,,,"Lang, Andrew, 1844-1912",,,,,,,,,,,,,,,
,The World's Greatest Books — Volume 09 — Lives and Letters,"Abélard And Héloïse: Love-letters -- H.F. Amiel: Fragments of an intimate diary -- Saint Augustine: Confessions -- James Boswell: Life of Samuel Johnson, LL.D. -- Sir David Brewster: Life of Sir Isaac Newton -- John Bunyan: Grace abounding -- Alexander Carlyle: Autobiography -- Thomas Carlyle: Letters and speeches of Oliver Cromwell. Life of Schiller -- Benvenuto Cellini: Autobiography -- François René de Chateaubriand: Memoirs from beyond the grave -- Earl of Chesterfield: Letters to his son -- Marcus Tullius Cicero: Letters -- Samuel Taylor Coleridge: Biographia literaria -- William Cowper: Letters -- Thomas De Quincey: Confessions of an English opium-eater -- Alexandre Dumas: Memoirs -- John Evelyn: Diary -- John Forster: Life of Goldsmith -- George Fox: Journal -- Benjamin Franklin: Autobiography -- Mrs. Gaskell: The life of Charlotte Brontë -- Edward Gibbon: Memoirs -- J.W. von Goethe: Letters to Zelter. Poetry and truth. Conversations with Eckermann -- Thomas Gray: Letters -- Antony Hamilton: Memoirs of the Count de Grammont -- Nathaniel Hawthorne: Our old home.",English,CT: History: Biography,Biography,Text,12059,"Apr 1, 2004",Public domain in the USA.,167 downloads in the last 30 days.,$0.00,,,"Mee, Arthur, 1875-1943",,,,,,,,,,,,,,,
,Popular Tales from the Norse,"True and untrue -- Why the sea is salt -- The old dame and her hen -- East o' the sun and west o' the moon -- Boots, who ate a match with the troll -- Hacon Grizzlebeard -- Boots, who made the princess say ""That's a story"" -- The twelve wild ducks -- The giant who had no heart in his body -- The fox as herdsman -- The mastermaid -- The cat on the Dovrefell -- Princess on the glass hill -- The cock and hen -- How one went out to woo -- The master-smith -- The two step-sisters -- Buttercup -- Taming the shrew -- Shortshanks -- Gudbrand on the hill-side -- The blue belt -- Why the bear is stumpy-tailed -- Not a pin to choose between them -- One's own children are always prettiest -- The three princesses of Whiteland -- The lassie and her godmother -- The three aunts -- The cock, the cuckoo, and the black-cock -- Rich Peter the Pedlar -- Gertrude's bird -- Boots and the troll -- Goosey Grizzel -- The lad who went to the North Wind -- The master thief -- The best wish -- The three billy-goats Gruff -- Well done and ill paid -- The husband who was to mind the house -- Dapplegrim -- Farmer Weathersky -- Lord Peter -- The seven foals -- The widow's son -- Bushy bride -- Boots and his brothers -- Big Peter and Little Peter -- Tatterhood -- The cock and the hen that went to the Dovrefell -- Katie Woodencloak -- Thumbikin -- Doll i' the grass -- The lad and the Deil -- The cock and hen a-nutting -- The big bird Dan -- Soria Moria Castle -- Bruin and Reynard -- Tom Totherhouse -- Little Annie the goose-girl.",English,PZ: Language and Literatures: Juvenile belles lettres,Folklore -- Norway,Text,8933,"Sep 1, 2005",Public domain in the USA.,144 downloads in the last 30 days.,$0.00,,"Moe, Jørgen Engebretsen, 1813-1882",,"Dasent, George Webbe, Sir, 1817-1896",,,,,,,,,,,,,,
,Anti-Suffrage Essays,Introduction: the anti-suffrage victory in Massachusetts / Ernest Bernbaum -- Who the Massachusetts anti-suffragists are / Mrs. John Balch -- Suffrage fallacies / Mrs. A.J. George -- The ballot and the woman of industry / Mrs. Henry Preston White -- A business woman's view of suffrage / Edith Melvin -- Some practical aspects of the question / Ellen Mudge Burrill -- How Massachusetts fosters public welfare / Monica Foley -- Massachusetts compared with suffrage states / Catherine Robinson -- Woman suffrage and war / Mrs. Charles P. Strong -- Woman suffrage vs. womanliness / Mrs. Thomas Allen -- Are suffragists sincere reformers / Mrs. Augustin H. Parker -- Suffrage and the school teacher / Elizabeth Jackson -- Suffrage and the social worker / Dorothy Godfrey Wayman -- Woman suffrage a menace to social reform / Margaret C. Robinson -- The anti-suffrage ideal / Mrs. Herbert Lyman -- The true function of the normal woman / Mrs. Horace A. Davis -- The imperative demand upon women in the home / Mrs. Charles Burton Gulick -- Suffrage and the sex problem / Mrs. William Lowell Putnam -- Suffrage a step toward feminism / Lily Rice Foxcroft -- Important anti-suffrage publications.,English,JK: Political science: Political inst. and pub. Admin.: United States,Women's Anti-Suffrage Association of Massachusetts,Text,35689,"Mar 26, 2011",Public domain in the USA.,126 downloads in the last 30 days.,$0.00,,,"Bernbaum, Ernest, 1879-1958",,,,84122286,,,,,,,,,,,
,Seven Icelandic Short Stories,The story of Audunn and the bear -- A dry spell -- The old hay -- When I was on the frigate -- Father and son -- The fox skin -- New Iceland.,English,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures","Short stories, Icelandic -- Translations into English",Text,5603,"May 1, 2004",Public domain in the USA.,115 downloads in the last 30 days.,$0.00,,,"Steingrímur J. Þorsteinsson, 1911-1973",,,,,,,,,,,,,,,
,The Orange Fairy Book,"The story of the hero Makóma -- The magic mirror -- Story of the king who would see Paradise -- How Isuro the Rabbit tricked Gudu -- Ian, the soldier's son -- The fox and the wolf -- How Ian Direach got the blue falcon -- The ugly duckling -- The two caskets -- The goldsmith's fortune -- The enchanted wreath -- The foolish weaver -- The clever cat -- The story of Manus -- Pinkel the thief -- The adventures of a jackal -- The adventures of the jackal's eldest son -- The adventures of the younger son of the jackal -- Three treasures of the giants -- The rover of the plain -- The white doe -- The girl-fish -- The owl and the eagle -- The frog and the Lion Fairy -- The adventures of Covan the Brown-haired -- The Princess Bella-Flor -- The bird of truth -- The mink and the wolf -- Adventures of an Indian brave -- How the Stalos were tricked -- Andras Baive -- The white slipper -- The magic book.",English,PZ: Language and Literatures: Juvenile belles lettres,Fairy tales,Text,36532,"Jun 27, 2011",Public domain in the USA.,105 downloads in the last 30 days.,$0.00,"Ford, H. J. (Henry Justice), 1860-1941",,"Lang, Andrew, 1844-1912",,,,,,,,,,,,,,,
,"The Junior Classics, Volume 8: Animal and Nature Stories","Little Cyclone: The Story of a Grizzly Cub, by Hornaday -- Some True Stories of Tigers, Wolves, Foxes, and Bears, by Kingston -- Some Animal Friends in Africa, by Taylor -- My Fight with a Catamount, by French -- In Canada with a Lynx, by Hendrick -- Solomon's Grouch: The Story of a Bear, by Calkins -- A Droll Fox-Trap, by Stephens -- The Horse That Aroused the Town, by Gask -- What Ginger Told Black Beauty, by Sewell -- Some True Stories of Horses and Donkeys, by Kingston -- ""Old Mustard"": A Tale of the Western Pioneers, by Frentz -- Carlo, the Soldiers' Dog, by Hawkins -- A Brave Dog, by Baker -- Uncle Dick's Rolf, by Craik -- Scrap, by Chamberlain -- A Fire-Fighter's Dog, by Quiller-Couch -- Plato: The Story of a Cat, by Downs -- Peter: A Cat O' One Tail, by Morley -- Jeff the Inquisitive, by Hawkins -- The Impudent Guinea-Pig, by Lummis -- Hard to Hit, by Ingersoll -- That Sly Old Woodchuck, by Stoddard -- The Faithful Little Lizard, by James -- Toby the Wise, by Hawkins -- Blackamoor, by Landseer -- A Parrot That Had Been Trained to Fire a Cannon, by Baker -- The Sandpiper's Trick, by Thaxter -- How Did the Canary Do It?, by Thaxter -- A Runaway Whale, by Fosdick -- Saved by a Seal, by Cutting -- Old Muskie the Rogue, by Pennington -- Teaching Fish to Ring Bells, by Holder -- Marcus Aurelius, by Thanet -- Anna and the Rattler, by Cornell -- The Butterfly's Children, by Gatty -- The Dragon-Fly and the Water-Lily, by Ewald -- Powder-Post, by Stephens -- The Queen Bee, by Ewald -- A Swarm of Wild Bees, by Tolman -- The Intelligence of Ants, by Lubbock -- The Katy-Did's Party, by Stowe -- The Beech and the Oak, by Ewald -- The Oak and the Snail, by Gatty -- The Story of a Stone, by Jordan -- How the Stone-Age Children Played, by Abbott -- The Mist, by Ewald -- The Anemones, by Ewald -- The Weeds, by Ewald -- Some Voices from the Kitchen Garden, by Gatty -- The Wind and the Flowers, by  Gatty -- At Home With the Beavers, by Gask -- Two Enemies of the Beavers, by Gask -- The Squirrel's Story, by Gask -- A Den in the Rocks, by Gask -- Ships of the Desert, by Gask -- The Tale of Peter Rabbit, by Potter -- Lions and Tigers; Apes and Monkeys; The Hippopotamus and the Rhinoceros; The Giraffe; Parrots, by Anonymous -- Rab and His Friends, by Brown -- A Ride With a Mad Horse in a Freight-Car, by Murray -- A-Hunting of the Deer, by Warner.",English,PZ: Language and Literatures: Juvenile belles lettres,Children's literature,Text,8075,"May 1, 2005",Public domain in the USA.,105 downloads in the last 30 days.,$0.00,,,"Patten, William, 1868-1936",,,,,,,,,,,,,,,
,Short Stories for English Courses,"Preface -- Introduction: Requirements of the short story. How this book may be used -- The first Christmas-tree / Henry Van Dyke -- A French tar-baby / J.C. Harris -- Sonny's christenin' / Ruth M. Stuart -- Christmas night with Satan / John Fox, Jr. -- A nest-egg / J.W. Riley -- Wee Willie Winkie / Rudyard Kipling -- The gold bug / E.A. Poe -- The ransom of Red Chief / O. Henry -- The freshman full-back / R.D. Pane -- Gallegher / R.H. Davis -- The jumping frog / Mark Twain -- The lady or the tiger? / F.R. Stockton -- The outcasts of Poker Flat / F.B. Harte -- The revolt of mother / Mary E.W. Freeman -- Marse Chan / T.N. Page -- ""Posson Jone'"" / G.W. Cable -- Our aromatic uncle / H.C. Bunner -- Quality / John Galsworthy -- The triumph of night / Edith Wharton -- A messenger / Mary R.S. Andrews -- Markheim / R.L. Stevenson.",English,PS: Language and Literatures: American and Canadian literature,"Short stories, American",Text,5403,"Apr 1, 2004",Public domain in the USA.,96 downloads in the last 30 days.,$0.00,,,"Mikels, Rosa Mary Redding, 1862-",,,,,,,,,,,,,,,
,The Green Fairy Book,"The blue bird -- The half-chick -- The story of Caliph stork -- The enchanted watch -- Rosanella -- Sylvain and Jocosa -- Fairy gifts -- Prince Narcissus and the Princess Potentilla -- Prince Featherhead and the Princess Celandine -- The three little pigs -- Heart of ice -- The enchanted ring -- The snuff-box -- The golden blackbird -- The little soldier -- The magic swan -- The dirty shepherdess -- The enchanted snake -- The biter bit -- King Kojata -- Prince Fickle and Fair Helena -- Puddocky -- The story of Hok Lee and the dwarfs -- The story of the three bears -- Prince Vivien and the Princess Placida -- Little One-eye, Little Two-Eyes, and Little Three-Eyes -- Jorinde and Joringel -- Allerleirauh; or, the many-furred creature -- The twelve huntsmen -- Spindle, shuttle, and needle -- The crystal coffin -- The three snake-leaves -- The riddle -- Jack my hedgehog -- The golden lads -- The white snake -- The story of a clever tailor -- The golden mermaid -- The war of the wolf and the fox -- The story of the fisherman and his wife -- The three musicians -- The three dogs.",English,PZ: Language and Literatures: Juvenile belles lettres,Fairy tales,Text,33571,"Aug 29, 2010",Public domain in the USA.,93 downloads in the last 30 days.,$0.00,"Ford, H. J. (Henry Justice), 1860-1941",,"Lang, Andrew, 1844-1912",,,,,,,,,,,,,,,
,A Selection from the Norse Tales for the Use of Children,"True and untrue -- The old dame and her hen -- East o' the Sun and West o' the Moon -- Boots who ate a match with the Troll -- Boots, who made the Princess say, ""That's a story"" -- The twelve wild ducks -- The giant who had no heart in his body -- The fox as herdsman -- The cat on the Dovrefell -- Princess on the glass hill -- How one went out to woo -- The cock and hen -- The two step-sisters -- Buttercup -- Taming the shrew -- Shortshanks -- Gudbrand on the hill-side -- The blue belt -- Why the bear is stumpy-tailed -- Not a pin to choose between them -- One's own children are always prettiest -- The three princesses of Whiteland -- The lassie and her godmother -- The three aunts -- The cock, the cuckoo, and the black-cock -- Rich Peter the Pedlar -- Boots and the Troll -- The lad who went to the North Wind -- The best wish -- The three billy-goats Gruff -- Well done and ill paid -- The husband who was to mind the house -- Dapplegrim -- The seven foals -- The widow's son -- Bushy Bride -- Boots and his brothers.",English,PZ: Language and Literatures: Juvenile belles lettres,Tales -- Norway,Text,64189,"Dec 31, 2020",Public domain in the USA.,85 downloads in the last 30 days.,$0.00,,"Moe, Jørgen Engebretsen, 1813-1882",,"Dasent, George Webbe, Sir, 1817-1896",,"Selected stories from Dasent's translation of the ""Norske folkeeventyr"" by P.C. Asbjørnsen and J.E. Moe.",,,,,,,,,,,,
